Date,Action,Price,Balance
2025-03-09 12:11:00,BUY,84302.77,8995.0
2025-03-09 12:12:00,TAKE-PROFIT,84646.12,9994.052455808984
2025-03-09 14:22:00,BUY,83283.94,8989.052455808984
2025-03-09 14:23:00,TAKE-PROFIT,83787.32,9990.066377580697
2025-03-09 14:24:00,BUY,83377.99,8985.066377580697
2025-03-09 14:25:00,TAKE-PROFIT,83706.01,9983.980838699274
2025-03-09 14:27:00,BUY,83257.35,8978.980838699274
2025-03-09 14:28:00,TAKE-PROFIT,83483.52,9976.683773034802
2025-03-09 14:47:00,BUY,83314.29,8971.683773034802
2025-03-09 14:48:00,TAKE-PROFIT,83676.92,9971.01456490736
2025-03-09 14:49:00,BUY,83349.93,8966.01456490736
2025-03-09 14:50:00,TAKE-PROFIT,83642.51,9964.507274499318
2025-03-09 15:57:00,BUY,83106.38,8959.507274499318
2025-03-09 15:58:00,TAKE-PROFIT,83507.34,9959.307810872097
2025-03-09 15:59:00,BUY,83080.41,8954.307810872097
2025-03-09 16:00:00,TAKE-PROFIT,83516.86,9954.534888470775
2025-03-09 16:01:00,BUY,83064.01,8949.534888470775
2025-03-09 16:02:00,TAKE-PROFIT,83576.0,9950.667870131545
2025-03-09 16:03:00,BUY,82968.69,8945.667870131545
2025-03-09 16:04:00,TAKE-PROFIT,83487.04,9946.88416991885
2025-03-09 16:05:00,BUY,82840.03,8941.88416991885
2025-03-09 16:06:00,TAKE-PROFIT,83383.49,9943.411723083667
2025-03-09 16:07:00,BUY,82859.68,8938.411723083667
2025-03-09 16:08:00,TAKE-PROFIT,83353.81,9939.345361132957
2025-03-09 17:01:00,BUY,82428.0,8934.345361132957
2025-03-09 17:02:00,TAKE-PROFIT,82881.54,9934.82010636516
2025-03-09 17:54:00,BUY,82349.99,8929.82010636516
2025-03-09 17:55:00,TAKE-PROFIT,82740.0,9929.53243177042
2025-03-09 17:57:00,BUY,82278.0,8924.53243177042
2025-03-09 17:58:00,TAKE-PROFIT,82708.0,9924.732485247656
2025-03-09 18:13:00,BUY,82573.41,8919.732485247656
2025-03-09 18:14:00,TAKE-PROFIT,83218.01,9922.4998403805
2025-03-09 18:15:00,BUY,82504.49,8917.4998403805
2025-03-09 18:16:00,TAKE-PROFIT,83268.01,9921.707853180773
2025-03-09 18:17:00,BUY,82418.01,8916.707853180773
2025-03-09 18:18:00,TAKE-PROFIT,83223.89,9921.43692331969
2025-03-09 18:19:00,BUY,82336.25,8916.43692331969
2025-03-09 18:20:00,TAKE-PROFIT,83248.0,9922.455050207907
2025-03-09 18:21:00,BUY,82436.01,8917.455050207907
2025-03-09 18:22:00,TAKE-PROFIT,82992.64,9919.173556477193
2025-03-09 18:23:00,BUY,82592.99,8914.173556477193
2025-03-09 18:24:00,TAKE-PROFIT,82957.31,9913.562529439669
2025-03-09 19:18:00,BUY,82422.0,8908.562529439669
2025-03-09 19:19:00,TAKE-PROFIT,82950.0,9909.936555791855
2025-03-09 19:20:00,BUY,82441.17,8904.936555791855
2025-03-09 19:21:00,TAKE-PROFIT,82792.69,9904.179125372078
2025-03-09 19:23:00,BUY,82462.0,8899.179125372078
2025-03-09 19:24:00,TAKE-PROFIT,82801.8,9898.279207834305
2025-03-09 19:56:00,BUY,82604.73,8893.279207834305
2025-03-09 19:57:00,TAKE-PROFIT,83065.98,9893.835109415242
2025-03-09 19:58:00,BUY,82547.3,8888.835109415242
2025-03-09 19:59:00,TAKE-PROFIT,83093.99,9890.424744085303
2025-03-09 20:20:00,BUY,82932.73,8885.424744085303
2025-03-09 20:21:00,TAKE-PROFIT,83301.99,9884.85500581671
2025-03-09 23:02:00,BUY,80408.27,8879.85500581671
2025-03-09 23:03:00,TAKE-PROFIT,80851.93,9880.345009519064
2025-03-09 23:04:00,BUY,80233.7,8875.345009519064
2025-03-09 23:05:00,TAKE-PROFIT,80900.0,9878.607977573634
2025-03-09 23:06:00,BUY,80025.69,8873.607977573634
2025-03-09 23:07:00,TAKE-PROFIT,80876.13,9879.181929513317
2025-03-09 23:08:00,BUY,80163.4,8874.181929513317
2025-03-09 23:09:00,TAKE-PROFIT,80792.01,9876.984329985353
2025-03-09 23:46:00,BUY,80430.0,8871.984329985353
2025-03-09 23:47:00,TAKE-PROFIT,80839.99,9872.056318671166
2025-03-09 23:48:00,BUY,80411.99,8867.056318671166
2025-03-09 23:49:00,TAKE-PROFIT,81149.98,9871.188042062167
